x, true, terminal, bsde
-7.070707070707060726e-02,3.112357854843139648e-01,2.203105327865403085e-01,2.969456911087036133e-01
-5.050505050505038618e-02,2.235765159130096436e-01,1.580013959733495288e-01,2.116931080818176270e-01
-3.030303030303027612e-02,1.334586292505264282e-01,9.505604330418257475e-02,1.258411258459091187e-01
-1.010101010101005503e-02,4.197309538722038269e-02,3.172793349806750374e-02,4.365506395697593689e-02
1.010101010101016605e-02,-4.975639656186103821e-02,-3.172793349806785068e-02,-4.123661667108535767e-02
3.030303030303049816e-02,-1.406226754188537598e-01,-9.505604330418326864e-02,-1.291754990816116333e-01
5.050505050505060822e-02,-2.295750081539154053e-01,-1.580013959733502227e-01,-2.214259058237075806e-01
7.070707070707071829e-02,-3.156628310680389404e-01,-2.203105327865406693e-01,-3.056446909904479980e-01
9.090909090909105039e-02,-3.980558812618255615e-01,-2.817325568414301151e-01,-3.882767856121063232e-01
1.111111111111111605e-01,-4.760633111000061035e-01,-3.420201433256688794e-01,-4.681062698364257812e-01
1.313131313131314926e-01,-5.491334199905395508e-01,-4.009305354066141636e-01,-5.415516495704650879e-01
1.515151515151516026e-01,-6.168509721755981445e-01,-4.582265217274105740e-01,-6.107393503189086914e-01
1.717171717171717127e-01,-6.789227724075317383e-01,-5.136773915734063056e-01,-6.836401820182800293e-01
1.919191919191920448e-01,-7.351670265197753906e-01,-5.670598638627710741e-01,-7.594183683395385742e-01
2.121212121212121549e-01,-7.855012416839599609e-01,-6.181589862206052777e-01,-8.296716809272766113e-01
2.323232323232324870e-01,-8.299268484115600586e-01,-6.667690005162919542e-01,-8.876347541809082031e-01
2.525252525252525970e-01,-8.685199022293090820e-01,-7.126941713788629285e-01,-9.325377941131591797e-01
2.727272727272729291e-01,-9.014194011688232422e-01,-7.557495743542587130e-01,-9.665459394454956055e-01
2.929292929292930392e-01,-9.288140535354614258e-01,-7.957618405308323206e-01,-9.918230772018432617e-01
3.131313131313131493e-01,-9.509330987930297852e-01,-8.325698546347714002e-01,-1.009818911552429199e+00
3.333333333333334814e-01,-9.680318832397460938e-01,-8.660254037844388186e-01,-1.021433949470520020e+00
3.535353535353535914e-01,-9.803824424743652344e-01,-8.959937742913358649e-01,-1.027281761169433594e+00
3.737373737373739235e-01,-9.882616996765136719e-01,-9.223542941045815846e-01,-1.027871847152709961e+00
3.939393939393940336e-01,-9.919434785842895508e-01,-9.450008187146685668e-01,-1.023714423179626465e+00
4.141414141414143657e-01,-9.916892051696777344e-01,-9.638421585599422636e-01,-1.015362501144409180e+00
4.343434343434344758e-01,-9.877429008483886719e-01,-9.788024462147787430e-01,-1.003414392471313477e+00
4.545454545454545858e-01,-9.803276062011718750e-01,-9.898214418809326842e-01,-9.884637594223022461e-01
4.747474747474749179e-01,-9.696411490440368652e-01,-9.968547759519423845e-01,-9.710423946380615234e-01
4.949494949494950280e-01,-9.558567404747009277e-01,-9.998741276738750683e-01,-9.515679478645324707e-01
5.151515151515153601e-01,-9.391222000122070312e-01,-9.988673391830079629e-01,-9.303199052810668945e-01
5.353535353535354702e-01,-9.195623397827148438e-01,-9.938384644612541230e-01,-9.074494838714599609e-01
5.555555555555555802e-01,-8.972823619842529297e-01,-9.848077530122080203e-01,-8.830055594444274902e-01
5.757575757575759123e-01,-8.723708391189575195e-01,-9.718115683235415414e-01,-8.569760322570800781e-01
5.959595959595960224e-01,-8.449063301086425781e-01,-9.549022414440738737e-01,-8.293236494064331055e-01
6.161616161616163545e-01,-8.149647712707519531e-01,-9.341478602651065444e-01,-8.000147342681884766e-01
6.363636363636364646e-01,-7.826219797134399414e-01,-9.096319953545182191e-01,-7.690379619598388672e-01
6.565656565656567967e-01,-7.479676008224487305e-01,-8.814533634475816282e-01,-7.364156246185302734e-01
6.767676767676769067e-01,-7.111082077026367188e-01,-8.497254299495140550e-01,-7.022054195404052734e-01
6.969696969696970168e-01,-6.721744537353515625e-01,-8.145759520503357276e-01,-6.664893031120300293e-01
7.171717171717173489e-01,-6.313289999961853027e-01,-7.761464642917564882e-01,-6.293675303459167480e-01
7.373737373737374590e-01,-5.887650847434997559e-01,-7.345917086575330934e-01,-5.909434556961059570e-01
7.575757575757577911e-01,-5.447136163711547852e-01,-6.900790114821115928e-01,-5.513083934783935547e-01
7.777777777777779011e-01,-4.994359314441680908e-01,-6.427876096865391409e-01,-5.105336308479309082e-01
7.979797979797982332e-01,-4.532202184200286865e-01,-5.929079290546397374e-01,-4.686647057533264160e-01
8.181818181818183433e-01,-4.063791036605834961e-01,-5.406408174555974444e-01,-4.257256984710693359e-01
8.383838383838384534e-01,-3.592322468757629395e-01,-4.861967361004687072e-01,-3.817276060581207275e-01
8.585858585858587855e-01,-3.121048808097839355e-01,-4.297949120891710328e-01,-3.366859555244445801e-01
8.787878787878788955e-01,-2.653111219406127930e-01,-3.716624556603271290e-01,-2.906385064125061035e-01
8.989898989898992276e-01,-2.191471606492996216e-01,-3.120334456984865112e-01,-2.436677366495132446e-01
9.191919191919193377e-01,-1.738830357789993286e-01,-2.511479871810788356e-01,-1.959082931280136108e-01
9.393939393939394478e-01,-1.297548264265060425e-01,-1.892512443604100758e-01,-1.475467383861541748e-01
9.595959595959597799e-01,-8.696403354406356812e-02,-1.265924535737489309e-01,-9.880596399307250977e-02
9.797979797979798899e-01,-4.567148163914680481e-02,-6.342391965656439534e-02,-4.990746080875396729e-02
1.000000000000000000e+00,-5.999912507832050323e-03,-1.224646799147353207e-16,-1.045562326908111572e-03
